algorithm,RQ,experiment_id,iteration,no_datapoints,no_features,preprocessing_energy(J),preprocessing_time(s),train_energy(J),train_time(s),predict_energy(J),predict_time(s),datatype,accuracy,precision,recall,f1
Random Forest,2.1,81,20,3509,8169,0.010811458971571347,1.426537036895752,1.0227795831693567,3.0847718715667725,0.09993308054547959,1.5085523128509521,float64,0.9720930232558139,0.9819277108433735,0.806930693069307,0.8858695652173914
Bagging Classifier,2.1,127,21,1169,8169,0.0068006777245252165,1.4373769760131836,0.12852947742638737,1.582427978515625,0.0275423218873538,1.4524118900299072,float64,0.950199203187251,0.8387096774193549,0.7761194029850746,0.8062015503875968
Bagging Classifier,2.1,125,1,1950,8169,0.012332113389071957,1.4349379539489746,0.3611330137845039,1.6888267993927002,0.02901860078737911,1.455265998840332,float64,0.9557416267942583,0.9120879120879121,0.7410714285714286,0.8177339901477831
SVM,2.1,3,4,2730,8169,0.0070804577485651665,1.4710252285003662,0.23933637972030397,1.7288329601287842,0.1253470775578407,1.5804147720336914,float64,0.8282051282051283,0.4325153374233129,0.8980891719745223,0.5838509316770186
Decision Tree,2.2,38,10,3900,6535,0.01858523806206419,1.4574921131134033,0.10433452788416826,1.557262897491455,0.058777635040683875,1.4938888549804688,float64,0.9593301435406698,0.8513513513513513,0.84375,0.8475336322869954
Random Forest,2.1,85,24,1950,8169,0.011107479261599825,1.44278883934021,0.5556755361276713,2.2503340244293213,0.04974016329554898,1.4800429344177246,float64,0.9760765550239234,1.0,0.8214285714285714,0.9019607843137255
Decision Tree,2.1,25,1,1950,8169,0.011135721167718833,1.4274768829345703,0.0461067593932251,1.4957480430603027,0.024593114799076433,1.4698522090911865,float64,0.9569377990430622,0.8725490196078431,0.7946428571428571,0.8317757009345794
SVM,2.1,3,1,2730,8169,0.007357145553473166,1.432582139968872,0.2521622023817986,1.7394888401031494,0.13113140412089347,1.579289197921753,float64,0.8282051282051283,0.4325153374233129,0.8980891719745223,0.5838509316770186
SVM,2.1,10,1,3900,8169,0.0008358140925704362,1.4451520442962646,0.6317071366492938,2.1046290397644043,0.23662210868900055,1.7061200141906738,float64,0.8283492822966507,0.4319654427645788,0.8928571428571429,0.5822416302765647
AdaBoost,2.2,119,2,3900,7352,0.02499327444046965,1.4550690650939941,0.8126992164031861,2.2936110496520996,0.07244540124775838,1.5014410018920898,float64,0.9683014354066986,0.9130434782608695,0.84375,0.8770301624129929
Random Forest,2.1,87,0,1169,8169,0.010474339396145426,1.4510900974273682,0.3705402050814846,1.8824810981750488,0.04434255378485868,1.484266996383667,float64,0.9581673306772909,1.0,0.6865671641791045,0.8141592920353982
KNN,2.1,63,23,2730,8169,0.007522832850516089,1.4351770877838135,0.005510301480129524,1.4523141384124756,0.17678287054546543,1.5944569110870361,float64,0.9136752136752136,0.7121212121212122,0.5987261146496815,0.6505190311418685
AdaBoost,2.2,120,22,3900,8169,0.0005875677901339368,1.453049898147583,1.0258793061549096,2.4239308834075928,0.0610123949469658,1.478424072265625,float64,0.9683014354066986,0.9130434782608695,0.84375,0.8770301624129929
AdaBoost,2.1,107,6,1169,8169,0.006594993409996058,1.4493818283081055,0.30828577416389197,1.6655418872833252,0.07110040085146285,1.4524381160736084,float64,0.9601593625498008,0.873015873015873,0.8208955223880597,0.8461538461538461
Bagging Classifier,2.2,140,16,3900,8169,0.00094493521488121,1.440603256225586,0.6103913736377562,2.150398015975952,0.08508194226580153,1.502007007598877,float64,0.9641148325358851,0.9019607843137255,0.8214285714285714,0.8598130841121495
Decision Tree,2.1,27,29,1169,8169,0.011750987460989109,1.4438729286193848,0.032872418760783034,1.433109998703003,0.023586920131948814,1.4620678424835205,float64,0.952191235059761,0.8307692307692308,0.8059701492537313,0.8181818181818182
Decision Tree,2.1,22,25,3119,8169,0.007016951710805323,1.4525980949401855,0.06911851834940429,1.5403687953948975,0.10976450573359589,1.4659829139709473,float64,0.9544095665171899,0.8324022346368715,0.8277777777777777,0.8300835654596099
Bagging Classifier,2.1,122,27,3119,8169,0.006815597372719446,1.4643969535827637,0.35630801838246784,1.9589922428131104,0.05021197562256502,1.494804859161377,float64,0.9611360239162929,0.9155844155844156,0.7833333333333333,0.844311377245509
